pair_id,child_id_1,child_id_2,ei_id_1,ei_id_2,assigned,driving_distance,driving_time
1017,65d8d05fe09e67e025e8cda9,NULL,65d75a2ce09e67e025e8cd30,NULL,0,25.136,35.1757
1018,65d8d732e09e67e025e8cdb6,65d8d7c4e09e67e025e8cdb7,NULL,NULL,0,0,0
1019,65d8d732e09e67e025e8cdb6,NULL,65d75a2ce09e67e025e8cd30,NULL,0,25.2676,37.4379
1020,65d8d7c4e09e67e025e8cdb7,NULL,65d75a2ce09e67e025e8cd30,NULL,0,25.2676,37.4379
1021,NULL,NULL,65d75a2ce09e67e025e8cd30,65d75dd5e09e67e025e8cd3a,0,1.52581,4.62382
1022,65d8bec4e09e67e025e8cd8b,65d8bf9ce09e67e025e8cd8c,NULL,NULL,0,0,0
1023,65d8bec4e09e67e025e8cd8b,NULL,65d75a2ce09e67e025e8cd30,NULL,0,45.0928,55.5417
1024,65d8bf9ce09e67e025e8cd8c,NULL,65d75a2ce09e67e025e8cd30,NULL,0,45.0928,55.5417
1025,65e5cc1b38f826f292671fed,NULL,65d75a2ce09e67e025e8cd30,NULL,0,3.90625,9.12804
1026,NULL,NULL,65d75a2ce09e67e025e8cd30,65d75bb0e09e67e025e8cd31,0,52.0266,57.2268
1027,65d8d0bee09e67e025e8cdaa,NULL,65d75a2ce09e67e025e8cd30,NULL,0,8.08337,18.3951
1028,65d8d17be09e67e025e8cdab,NULL,65d75a2ce09e67e025e8cd30,NULL,0,23.5243,36.0575
1029,65d8d1dae09e67e025e8cdac,NULL,65d75a2ce09e67e025e8cd30,NULL,0,24.5776,38.466
1030,65e5d9ad38f826f292672007,NULL,65d75a2ce09e67e025e8cd30,NULL,0,48.4956,72.5964
1031,65d8d255e09e67e025e8cdad,65d8d8fee09e67e025e8cdba,NULL,NULL,0,0,0
1032,65d8d255e09e67e025e8cdad,NULL,65d75a2ce09e67e025e8cd30,NULL,0,21.2385,34.3188
1033,65d8d8fee09e67e025e8cdba,NULL,65d75a2ce09e67e025e8cd30,NULL,0,21.2385,34.3188
1034,65e5da5138f826f292672008,NULL,65d75a2ce09e67e025e8cd30,NULL,0,12.1335,21.3408
1035,65d8d32ae09e67e025e8cdae,NULL,65d75a2ce09e67e025e8cd30,NULL,0,51.0696,73.6485
1036,65d8d3f8e09e67e025e8cdaf,NULL,65d75a2ce09e67e025e8cd30,NULL,0,25.0444,36.9085
1037,65d8d451e09e67e025e8cdb0,NULL,65d75a2ce09e67e025e8cd30,NULL,0,20.8767,32.9648
1038,65d8cbcee09e67e025e8cd9f,NULL,65d75a2ce09e67e025e8cd30,NULL,0,15.2021,22.2459
1039,65e5d77e38f826f292672002,NULL,65d75a2ce09e67e025e8cd30,NULL,0,17.5005,24.0946
1040,65d8d4b3e09e67e025e8cdb1,NULL,65d75a2ce09e67e025e8cd30,NULL,0,16.5821,27.0475
1041,65d8cc36e09e67e025e8cda0,NULL,65d75a2ce09e67e025e8cd30,NULL,0,26.9998,35.9783
1042,65e5d81138f826f292672003,NULL,65d75a2ce09e67e025e8cd30,NULL,0,18.6815,27.4092
1043,65d8d56ae09e67e025e8cdb2,NULL,65d75a2ce09e67e025e8cd30,NULL,0,16.0651,26.0479
1044,65d8d6d9e09e67e025e8cdb5,NULL,65d75a2ce09e67e025e8cd30,NULL,0,34.8964,39.6954
1045,NULL,NULL,65d75a2ce09e67e025e8cd30,65d75dfae09e67e025e8cd3b,0,21.3268,25.9955
1046,65d76430e09e67e025e8cd43,NULL,65d75a2ce09e67e025e8cd30,NULL,0,23.0777,34.0464
1047,65d8d5dbe09e67e025e8cdb3,NULL,65d75a2ce09e67e025e8cd30,NULL,0,19.7797,30.2808
1048,NULL,NULL,65d75a2ce09e67e025e8cd30,65d75e28e09e67e025e8cd3c,0,8.23768,16.3378
1049,65d8d66de09e67e025e8cdb4,NULL,65d75a2ce09e67e025e8cd30,NULL,0,20.1296,29.9772
1050,65d8d81ee09e67e025e8cdb8,NULL,65d75a2ce09e67e025e8cd30,NULL,0,21.799,32.8168
1051,65d8d897e09e67e025e8cdb9,NULL,65d75a2ce09e67e025e8cd30,NULL,0,19.0397,30.898
1052,65d766f6e09e67e025e8cd45,NULL,65d75a2ce09e67e025e8cd30,NULL,0,30.4247,45.9596
1053,65d8d962e09e67e025e8cdbb,NULL,65d75a2ce09e67e025e8cd30,NULL,0,22.9446,35.0311
1054,65d764dde09e67e025e8cd44,NULL,65d75a2ce09e67e025e8cd30,NULL,0,32.6358,35.3016
1055,65d8d9bce09e67e025e8cdbc,NULL,65d75a2ce09e67e025e8cd30,NULL,0,18.6667,23.7576
1056,65d8c44ee09e67e025e8cd95,NULL,65d75a2ce09e67e025e8cd30,NULL,0,42.9908,51.5565
1057,65e5dc4f38f826f29267200d,NULL,65d75a2ce09e67e025e8cd30,NULL,0,9.35477,17.3237
1058,65d8da66e09e67e025e8cdbd,NULL,65d75a2ce09e67e025e8cd30,NULL,0,5.75815,12.578
1059,65d8c4cde09e67e025e8cd96,NULL,65d75a2ce09e67e025e8cd30,NULL,0,28.4884,36.3505
1060,65e5dcbc38f826f29267200e,NULL,65d75a2ce09e67e025e8cd30,NULL,0,10.7617,17.9682
1061,65d8dabde09e67e025e8cdbe,NULL,65d75a2ce09e67e025e8cd30,NULL,0,3.11226,7.65579
1062,65d8c149e09e67e025e8cd8f,NULL,65d75a2ce09e67e025e8cd30,NULL,0,58.2909,68.2004
1063,65d8db3ce09e67e025e8cdbf,NULL,65d75a2ce09e67e025e8cd30,NULL,0,5.50702,11.3805
1064,65d8c1c1e09e67e025e8cd90,NULL,65d75a2ce09e67e025e8cd30,NULL,0,29.8771,36.2681
1065,65d8db8fe09e67e025e8cdc0,65e5cc7f38f826f292671fee,NULL,NULL,0,0,0
1066,65d8db8fe09e67e025e8cdc0,NULL,65d75a2ce09e67e025e8cd30,NULL,0,34.6128,57.4272
1067,65e5cc7f38f826f292671fee,NULL,65d75a2ce09e67e025e8cd30,NULL,0,34.6128,57.4272
1068,65d8c240e09e67e025e8cd91,NULL,65d75a2ce09e67e025e8cd30,NULL,0,35.0575,45.1383
1069,65e5c8f938f826f292671fe9,NULL,65d75a2ce09e67e025e8cd30,NULL,0,15.5182,25.9193
1070,65d8c2bde09e67e025e8cd92,NULL,65d75a2ce09e67e025e8cd30,NULL,0,29.7118,36.1014
1071,65e5ca5838f826f292671fea,NULL,65d75a2ce09e67e025e8cd30,NULL,0,2.60792,6.52698
1072,65d8bd34e09e67e025e8cd88,NULL,65d75a2ce09e67e025e8cd30,NULL,0,24.6949,29.4734
1073,65e5cae438f826f292671feb,NULL,65d75a2ce09e67e025e8cd30,NULL,0,27.7402,42.9014
1074,65d8bdb5e09e67e025e8cd89,NULL,65d75a2ce09e67e025e8cd30,NULL,0,31.4489,44.408
